Player;Tm;2018-19;2019-20;2020-2021;2021-2022;2022-2023;2023-2024;Signed Using;Guaranteed
Marcin Gortat;LAC;$13,565,218;;;;;;Bird Rights;$13,565,218
Cody Zeller;CHO;$13,528,090;$14,471,910;$15,415,730;;;;1st Round Pick;$43,415,730
Eric Gordon;HOU;$13,500,375;$14,057,730;;;;;Cap Space;$27,558,105
Joe Ingles;UTA;$13,045,455;$11,954,546;$10,863,637;;;;Bird Rights;$35,863,638
Khris Middleton;MIL;$13,000,000;$13,000,000;;;;;Bird Rights;$13,000,000
Michael Kidd-Gilchrist;CHO;$13,000,000;$13,000,000;;;;;1st Round Pick;$13,000,000
Mason Plumlee;DEN;$12,917,808;$14,041,096;;;;;Cap space;$26,958,904
Wilson Chandler;PHI;$12,800,562;;;;;;;$12,800,562
Nikola Vucevic;ORL;$12,750,000;;;;;;Bird Rights;$12,750,000
Austin Rivers;PHO;$12,650,000;;;;;;;$12,650,000
Jordan Clarkson;CLE;$12,500,000;$13,437,500;;;;;Cap Space;$25,937,500
Miles Plumlee;ATL;$12,500,000;$12,500,000;;;;;Bird Rights;$25,000,000
Nikola Mirotic;NOP;$12,500,000;;;;;;Cap space;$12,500,000
Tyreke Evans;IND;$12,400,000;;;;;;;$12,400,000
Courtney Lee;NYK;$12,253,780;$12,759,670;;;;;Cap Space;$25,013,450
Solomon Hill;NOP;$12,252,928;$13,258,781;;;;;Cap Space;$25,511,709
J.J. Redick;PHI;$12,250,000;;;;;;;$12,250,000
Kelly Olynyk;MIA;$12,137,527;$11,667,885;$12,198,243;;;;Cap space;$23,805,412
Kentavious Caldwell-Pope;LAL;$12,000,000;;;;;;;$12,000,000
Avery Bradley;LAC;$12,000,000;$12,960,000;;;;;;$12,000,000
Kemba Walker;CHO;$12,000,000;;;;;;1st Round Pick;$12,000,000
Will Barton;DEN;$11,830,358;$12,960,000;$13,920,000;$14,880,000;;;;$38,710,358
T.J. Warren;PHO;$11,750,000;$10,810,000;$11,750,000;$12,690,000;;;1st Round Pick;$47,000,000
Zach Randolph;SAC;$11,692,308;;;;;;Cap space;$11,692,308
Marcus Smart;BOS;$11,660,716;$12,553,471;$13,446,428;$14,339,285;;;;$51,999,900
Patty Mills;SAS;$11,571,429;$12,428,571;$13,285,714;;;;Bird Rights;$37,285,714
Dion Waiters;MIA;$11,550,000;$12,100,000;$12,650,000;;;;Cap space;$36,300,000
Alec Burks;CLE;$11,536,515;;;;;;1st Round Pick;$11,536,515
John Henson;CLE;$11,327,466;$9,732,396;;;;;1st Round Pick;$21,059,862
Omer Asik;CHI;$11,286,516;$3,000,000;;;;;;$14,286,516
Jusuf Nurkic;POR;$11,111,111;$12,000,000;$12,000,000;$12,000,000;;;;$39,111,111
Iman Shumpert;SAC;$11,011,234;;;;;;Bird Rights;$11,011,234
Maurice Harkless;POR;$10,837,079;$11,511,234;;;;;Cap Space;$22,348,313
Tony Snell;MIL;$10,607,143;$11,392,857;$12,178,571;;;;Cap space;$22,000,000
Meyers Leonard;POR;$10,595,506;$11,286,515;;;;;Cap Space;$21,882,021
Terrence Ross;ORL;$10,500,000;;;;;;Rookie scale extension;$10,500,000
Bojan Bogdanovic;IND;$10,500,000;;;;;;Cap space;$10,500,000
Robert Covington;MIN;$10,464,092;$11,301,219;$12,138,345;$12,975,471;;;Cap Space;$46,879,127
Rudy Gay;SAS;$10,087,200;;;;;;Non-Bird Rights;$10,087,200
Jon Leuer;DET;$10,002,681;$9,508,043;;;;;Cap Space;$19,510,724
Andre Roberson;OKC;$10,000,000;$10,740,741;;;;;Bird Rights;$20,740,741
Danny Green;TOR;$10,000,000;;;;;;Bird Rights;$10,000,000
Darren Collison;IND;$10,000,000;;;;;;Cap space;$10,000,000
Dwight Powell;DAL;$9,631,250;$10,259,375;;;;;Cap Space;$9,631,250
Matthew Dellavedova;CLE;$9,607,500;$9,607,500;;;;;Cap Space;$19,215,000
Dante Exum;UTA;$9,600,000;$9,600,000;$9,600,000;;;;Cap Space;$27,300,000
Jared Dudley;BRK;$9,530,000;;;;;;Cap Space;$9,530,000
Norman Powell;TOR;$9,367,200;$10,116,576;$10,865,952;$11,615,328;;;Cap Space;$30,349,728
Josh Richardson;MIA;$9,367,200;$10,100,000;$10,800,000;$11,600,000;;;Minimum Salary;$30,267,200
Bogdan Bogdanovic;SAC;$9,000,000;$8,529,386;;;;;Cap space;$17,529,386
Rajon Rondo;LAL;$9,000,000;;;;;;;$9,000,000
E'Twaun Moore;NOP;$8,808,685;$8,664,928;;;;;Cap Space;$17,473,613
Kosta Koufos;SAC;$8,739,500;;;;;;Cap Space;$8,739,500
Jerami Grant;OKC;$8,653,847;$9,346,153;$9,346,153;;;;;$18,000,000
Fred VanVleet;TOR;$8,653,847;$9,000,000;;;;;Bird Rights;$17,653,847
Kyle Anderson;MEM;$8,641,000;$9,073,050;$9,505,100;$9,937,150;;;MLE;$37,156,300
Julius Randle;NOP;$8,641,000;$9,073,050;;;;;MLE;$8,641,000
Markieff Morris;WAS;$8,600,000;;;;;;Bird Rights;$8,600,000
Jerryd Bayless;MIN;$8,575,916;;;;;;Cap Space;$8,575,916
Cristiano Felicio;CHI;$8,470,980;$8,156,500;$7,529,020;;;;Cap space;$24,156,500
Markelle Fultz;PHI;$8,339,880;$9,745,200;$12,288,697;;;;1st Round Pick;$18,085,080
Joe Harris;BRK;$8,333,333;$7,670,000;;;;;Early Bird Rights;$16,003,333
